datetime,border_1,border_100,border_1200
2014-08-10 04:59:00,60007590,10016340,1855050
2014-08-10 05:59:00,60007590,10158030,1866450
2014-08-10 06:59:00,60007590,10306830,1898580
2014-08-10 07:59:00,60007590,10382430,1908390
2014-08-10 08:59:00,60007590,10455810,1934070
2014-08-10 09:59:00,60007590,10512900,1966530
2014-08-10 10:59:00,60007590,10702710,1986300
2014-08-10 11:59:00,60007590,10914840,2017050
2014-08-10 12:59:00,60007590,10914840,2039220
2014-08-10 13:59:00,60007590,10984050,2071290
2014-08-10 14:59:00,60190710,11325360,2094300
2014-08-10 15:59:00,60190710,11456820,2112570
2014-08-10 16:59:00,60733290,11456820,2135220
2014-08-10 17:59:00,61330140,11758320,2148630
2014-08-10 18:59:00,61330140,12097020,2191800
2014-08-10 19:59:00,61596540,12097020,2222100
2014-08-10 20:59:00,61596540,12265620,2257740
2014-08-10 21:59:00,61596540,12348990,2303160
2014-08-10 22:59:00,62236140,12360540,2343870
2014-08-10 23:59:00,63077790,12585270,2385300
2014-08-11 00:59:00,64512690,12714780,2415900
2014-08-11 01:59:00,64512690,12714780,2436360
2014-08-11 02:59:00,64512690,12866700,2448210
2014-08-11 03:59:00,64512690,12866700,2452560
2014-08-11 04:59:00,64512690,12985110,2457780
2014-08-11 05:59:00,69465810,13035480,2458650
2014-08-11 06:59:00,72165360,13110210,2471400
2014-08-11 07:59:00,72165360,13173060,2480970
2014-08-11 08:59:00,72165360,13182120,2490720
2014-08-11 09:59:00,72165360,13182120,2501010
2014-08-11 10:59:00,72165360,13182120,2512890
2014-08-11 11:59:00,72165360,13189770,2519430
2014-08-11 12:59:00,72165360,13189770,2531310
2014-08-11 13:59:00,74071290,13195170,2542920
2014-08-11 14:59:00,74071290,13226250,2555550
2014-08-11 15:59:00,77105940,13264170,2573730
2014-08-11 16:59:00,80277240,13366080,2587620
2014-08-11 17:59:00,80730240,13390860,2602980
2014-08-11 18:59:00,80730240,13434900,2625930
2014-08-11 19:59:00,80730240,13434900,2669610
2014-08-11 20:59:00,80730240,13434900,2695500
2014-08-11 21:59:00,80730240,13833090,2727240
2014-08-11 22:59:00,84483090,14204970,2751840
2014-08-11 23:59:00,86571090,14337900,2765250
2014-08-12 00:59:00,89355240,14401710,2778990
2014-08-12 01:59:00,89809740,14565060,2796930
2014-08-12 02:59:00,89809740,14565060,2814150
2014-08-12 03:59:00,89809740,14565060,2826360
2014-08-12 04:59:00,89809740,14742600,2837670
2014-08-12 05:59:00,89809740,14742600,2849880
2014-08-12 06:59:00,89809740,14742600,2860440
2014-08-12 07:59:00,89809740,14742600,2886390
2014-08-12 08:59:00,89828490,14742600,2903070
2014-08-12 09:59:00,89828490,14742600,2929590
2014-08-12 10:59:00,89828490,14742600,2947200
2014-08-12 11:59:00,89828490,14761650,2966160
2014-08-12 12:59:00,89828490,14805690,2978340
2014-08-12 13:59:00,93242340,14919810,2988900
2014-08-12 14:59:00,97494840,14989290,2999520
2014-08-12 15:59:00,100141140,14989290,3016140
2014-08-12 16:59:00,100141140,14989290,3032130
2014-08-12 17:59:00,100141140,14989290,3050010
2014-08-12 18:59:00,100141140,15001080,3062520
2014-08-12 19:59:00,100141140,15055710,3082200
2014-08-12 20:59:00,100141140,15055710,3097140
2014-08-12 21:59:00,100141140,15056160,3131460
2014-08-12 22:59:00,100141140,15190710,3158490
2014-08-12 23:59:00,100141140,15190710,3185460
2014-08-13 00:59:00,100141140,15361380,3200910
2014-08-13 01:59:00,100141140,15361380,3221250
2014-08-13 02:59:00,100141140,15361380,3232950
2014-08-13 03:59:00,100141140,15374610,3233820
2014-08-13 04:59:00,100141140,15374610,3239640
2014-08-13 05:59:00,100141140,15432000,3246120
2014-08-13 06:59:00,100141140,15432000,3250410
2014-08-13 07:59:00,100141140,15633330,3255150
2014-08-13 08:59:00,100141140,15633330,3279660
2014-08-13 09:59:00,100141140,15633330,3297540
2014-08-13 10:59:00,100141140,15634290,3308670
2014-08-13 11:59:00,100141140,15634290,3314910
2014-08-13 12:59:00,100141140,15634290,3323460
2014-08-13 13:59:00,100141140,15829200,3343830
2014-08-13 14:59:00,100141140,15829200,3383190
2014-08-13 15:59:00,100141140,15829200,3401610
2014-08-13 16:54:00,100141140,15829200,3415950
2014-08-13 17:59:00,100179540,15870930,3492450
2014-08-13 18:59:00,100179540,16195740,3556950
2014-08-13 19:59:00,101035560,16195740,3607110
2014-08-13 20:59:00,102307560,16266030,3676830
2014-08-13 21:59:00,102307560,16368450,3714810
2014-08-13 22:59:00,102307560,16473900,3770820
2014-08-13 23:59:00,102307560,16650120,3828780
2014-08-14 00:59:00,102307560,16692030,3886950
2014-08-14 01:59:00,102307560,16845480,3925710
2014-08-14 02:59:00,102307560,16879080,3961440
2014-08-14 03:59:00,102307560,17094660,3993720
2014-08-14 04:59:00,102307560,17097810,3993780
2014-08-14 05:59:00,102307560,17186280,4005030
2014-08-14 06:59:00,102307560,17208630,4014900
2014-08-14 07:59:00,102307560,17339280,4034790
2014-08-14 08:59:00,102307560,17483160,4051260
2014-08-14 09:59:00,102307560,17590560,4062930
2014-08-14 10:59:00,102307560,17713410,4081470
2014-08-14 11:59:00,102307560,17817330,4104660
2014-08-14 12:59:00,102307560,17852910,4148520
2014-08-14 13:59:00,102307560,17852910,4164150
2014-08-14 14:59:00,102307560,17852910,4176120
2014-08-14 15:59:00,102307560,17927010,4199370
